20030102
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,92.62,92.61,92.66,92.54,0.24,0.26%,92.6,461,"42,687,810"
Au99.99,93,92.87,93,92.8,0.08,0.09%,92.84,201,"18,661,240"
