20120528
,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,322.70,324.65,322.70,324.13,3.37,0.0105,323.72,"2,020","653,925,360.00",　,　
Au9999&nbsp;,324.00,324.70,322.02,323.99,2.99,0.0093,323.62,"4,807.60","1,555,879,494.00",　,　
Au100g,323.00,324.97,323.00,324.58,2.80,0.0087,323.92,40.6,"13,151,310.00",　,　
Au(T+D),322.39,324.70,322.30,323.66,3.75,0.0117,323.67,"14,166","4,585,231,980.00","161,000","4,926&nbsp;"
"//functionSelectEvent(value,index){this.values=value.split("";"")this.index=index;}functionexportbrowseTMTradeQuotationExcel(){myform.action=""browseTMTradeQuotation?.xls"";myform.view_command.value=""export_excel"";myform.target=""_blank"";myform.submit();myform.target=""_self"";myform.view_command.value="""";}functionSelectListener(){this.onSelectChanged="""";}varselectListener=newSelectListener();varoldEvent;functionmyform_select(value,index){values=value.split("";"")varevent=newSelectEvent(value,index);str=selectListener.onSelectChanged+""(event,oldEvent);"";eval(str);oldEvent=event;}functionopenUrl(url){document.location=url}functionisSelected(){checked=false;if(document.myform.myform_radio!=null){a=document.myform.myform_radio;if(a.length!=null){for(i=0;i<a.length;i++){if(a(i).type==""radio""&&a(i).checked==true){checked=true;break;}}}else{if(a.type==""radio""&&a.checked==true){checked=true;}}}returnchecked;}functiondoCommand(action,checkselect,confirm){if(checkselect){if(!isSelected()){alert(""请选择一条记录！"");return;}}if(confirm!=null&&confirm!=""""){vartt=window.confirm(confirm.replace(""(?)"",document.myform.myform_radio.value));if(tt){myform.action=action;myform.table_command.value=action;myform.submit();}}else{myform.action=action;myform.submit();}}functionbodyOnLoad(){eval(bodyOnLoadScript);}",306.50,308.00,306.50,308.00,2.50,0.0082,307.57,244,"75,049,000.00",　,　
Ag(T+D),5990.00,6020.00,5960.00,6000.00,69.00,0.0116,5990.00,"433,284","2,595,759,546.00","2,815,266","7,590&nbsp;"
