20100825
合约,开盘价,最高价,最低价,收盘价,涨跌(元),涨跌幅,加权平均价,成交量(公斤),成交金额（元）,持仓量,交收量
Au9995,269.50,269.75,268.50,269.34,2.08,0.0078,269.50,"3,546","955,672,900.00",　,　
Au9999,267.52,269.88,266.00,269.67,2.15,0.008,269.52,"3,371.60","903,418,500.00",　,　
Au100g,265.18,269.95,265.18,269.67,2.19,0.0082,269.28,49.4,"13,302,584.00",　,　
AuT+D,265.89,269.80,265.70,269.41,2.14,0.008,268.47,"23,402","6,282,781,040.00","117,590","3,814"
Pt9995,339.50,344.50,339.50,343.83,3.33,0.0098,342.75,212,"72,664,000.00",　,　
Ag(T+D),4159.00,4199.00,4155.00,4192.00,24.00,0.0058,4187.00,"378,554","1,585,108,720.00","706,964","4,860"
