20190613
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,300.00,300.20,299.75,300.14,0.33,0.11%,300.05,266.00,"79,815,600.00",-,,
Au99.99,299.61,300.50,299.01,300.41,0.80,0.27%,300.12,"14,300.52","4,241,437,975.60",-,,
Au100g,299.00,300.25,297.00,300.19,0.91,0.30%,299.48,31.80,"9,523,614.00",-,,
iAu99.99,295.50,298.00,295.50,297.60,-0.14,-0.05%,297.61,218.60,"65,059,220.00",-,,
Au(T+D),299.59,300.50,298.80,300.39,1.96,0.66%,299.85,"65,878.00","19,753,545,840.00","301,072",多支付给空,"19,700"
Au(T+N1),299.05,300.55,299.00,300.05,0.25,0.08%,299.85,17.80,"5,337,480.00","104,102",多支付给空,754
Au(T+N2),301.15,303.00,301.10,302.90,1.85,0.61%,302.70,162.80,"49,279,240.00","428,448",多支付给空,"7,980"
mAu(T+D),299.77,300.49,298.92,300.35,1.46,0.49%,299.83,"5,289.40","1,585,972,282.00","715,768",空支付给多,"12,842"
Pt99.95,187.13,187.50,186.98,187.31,-1.08,-0.57%,187.25,42.00,"7,864,540.00",-,,
Ag(T+D),"3,577","3,585","3,559","3,572",6,0.17%,"3,571","2,623,206.00","9,369,671,730.00","13,389,768",多支付给空,"144,690"
PGC30g,290.00,301.50,290.00,298.62,-2.33,-0.77%,298.62,0.24,"71,670.00",-,,
