20021125
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,85,85.32,85.4,85,0.24,0.28%,85.31,380,"32,418,020"
Au99.99,85.21,85.39,85.5,85.21,0.21,0.25%,85.4,147,"12,554,420"
