20190626
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,316.50,316.50,313.70,314.40,-4.62,-1.45%,314.48,798.00,"250,959,580.00",-,,
Au99.99,321.00,321.00,310.02,314.44,-5.47,-1.71%,315.40,"30,069.60","9,405,931,046.40",-,,
Au100g,319.00,320.59,314.00,314.31,-5.67,-1.77%,316.10,125.60,"39,702,374.00",-,,
iAu99.99,316.00,317.71,311.00,311.49,-4.24,-1.34%,311.73,"3,911.96","1,219,479,471.00",-,,
Au(T+D),319.74,320.99,313.81,314.69,-3.25,-1.02%,317.02,"159,512.00","50,569,763,600.00","301,726",多支付给空,"14,048"
Au(T+N1),323.10,326.00,319.00,319.35,-4.00,-1.24%,322.00,782.40,"251,933,510.00","27,150",多支付给空,"1,800"
Au(T+N2),321.10,323.10,316.05,317.50,-3.75,-1.17%,317.45,"5,450.00","1,730,086,320.00","467,994",多支付给空,400
mAu(T+D),319.54,321.00,313.85,314.71,-3.70,-1.16%,316.88,"22,348.20","7,081,740,268.00","793,092",多支付给空,"53,932"
Pt99.95,185.08,185.29,184.80,184.94,-1.23,-0.66%,185.04,138.00,"25,535,740.00",-,,
Ag99.99,"3,677","3,677","3,677","3,677",72,2.00%,"3,677",60.00,"220,620.00",4,,
Ag(T+D),"3,675","3,691","3,637","3,648",-29,-0.79%,"3,661","5,297,670.00","19,399,757,668.00","12,674,854",空支付给多,"173,310"
PGC30g,316.00,316.00,314.00,314.28,-5.55,-1.74%,314.50,0.48,"150,960.00",-,,
