20100827
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au9995,270.50,270.70,269.85,269.85,-1.71,-0.006,270.40,"2,132","576,497,020.00",　,　
Au9999,271.00,271.10,270.00,270.01,-1.81,-0.007,270.46,"3,168.40","856,975,308.00",　,　
Au100g,270.51,271.00,270.05,270.31,-1.42,-0.005,270.50,50.6,"13,699,410.00",　,　
AuT+D,270.90,271.20,270.01,270.08,-1.62,-0.006,270.45,"12,836","3,471,539,860.00","106,462","16,558"
Au(T+N1),270.55,270.55,270.55,270.55,7.75,0.030,270.55,6,"1,623,300.00",20,　
Pt9995,348.00,348.50,347.25,348.43,0.10,0.000,348.04,120,"41,765,500.00",　,　
Ag999,4187.00,4187.00,4187.00,4187.00,1447.00,0.528,4187.00,300,"1,256,100.00",20,　
Ag(T+D),4257.00,4275.00,4241.00,4242.00,-23.00,-0.005,4261.00,"264,878","1,128,683,984.00","880,198",210
