20100713
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au100g,263.50,264.88,262.00,263.20,-1.31,-0.005,263.11,59.8,"15,731,972.00",&nbsp;,&nbsp;
Au9995,263.00,263.20,261.35,261.80,-1.38,-0.0052,261.68,"3,306","865,126,100.00",&nbsp;,&nbsp;
Au9999,263.20,263.80,261.20,261.88,-1.42,-0.0054,261.85,"1,684.40","441,088,854.00",&nbsp;,&nbsp;
Pt9995,345.00,345.00,343.00,343.50,-2.50,-0.0072,343.76,286,"98,317,000.00",&nbsp;,&nbsp;
Ag99.99,"4,170.00","4,170.00","4,170.00","4,170.00",10.00,0.0024,"4,170.00",600,"2,502,000.00",40,&nbsp;
Ag(T+D),"4,151.00","4,155.00","4,130.00","4,143.00",-7.00,-0.0017,"4,142.00","105,792","438,249,504.00","829,424",&nbsp;
AuT+D,262.36,263.10,260.50,262.00,-1.20,-0.0046,261.73,"15,344","4,016,006,800.00","108,504","2,034"
