20111215
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,335.00,335.70,321.71,322.27,-15.19,-0.0450,322.99,"4,214","1,361,098,640.00",　,　
Au9999&nbsp;,336.00,336.00,321.90,322.28,-15.67,-0.0464,324.15,"8,047.20","2,608,541,894.00",　,　
Au100g,336.90,336.90,323.10,323.89,-14.04,-0.0415,327.04,274.2,"89,675,136.00",　,　
Au(T+D),334.46,335.60,321.70,322.17,-15.27,-0.0453,326.59,"62,230","20,323,959,540.00","150,068","5,112&nbsp;"
Pt9995&nbsp;,303.50,304.00,297.50,299.71,-16.55,-0.0523,300.80,292,"87,834,000.00",　,　
Ag(T+D),6449.00,6469.00,5980.00,6014.00,-617.00,-0.0930,6203.00,"2,556,668","15,859,951,944.00","2,401,536","20,100&nbsp;"
