20030113
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,94.2,94.3,94.3,94.1,0.19,0.20%,94.19,574,"54,063,170"
Au99.99,94.3,94.4,94.4,94.3,0.2,0.21%,94.34,107,"10,094,510"
