20200205
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,351.70,351.70,351.00,351.04,-2.56,-0.72%,351.04,34.00,"11,935,400.00",-,,
Au99.99,356.00,356.00,349.50,351.70,-2.36,-0.67%,351.49,"3,635.44","1,283,681,557.00",-,,
Au100g,352.51,352.51,350.00,350.87,-3.24,-0.92%,350.91,16.20,"5,684,774.00",-,,
iAu99.99,350.21,351.50,350.21,350.66,-3.57,-1.01%,350.52,410.02,"143,721,521.80",-,,
Au(T+D),353.52,353.83,348.81,351.88,-3.44,-0.97%,351.30,"53,762.00","18,886,998,560.00","227,164",多支付给空,"2,426"
Au(T+N1),356.00,358.05,352.50,354.50,-2.50,-0.70%,354.00,133.60,"47,297,650.00","150,880",多支付给空,400
Au(T+N2),360.05,360.05,357.60,359.00,-2.70,-0.75%,358.70,10.00,"3,587,240.00","104,950",,
mAu(T+D),353.80,354.00,349.03,351.85,-3.75,-1.05%,351.26,"10,505.80","3,690,315,970.00","1,264,118",多支付给空,"4,446"
Pt99.95,223.57,223.57,223.57,223.57,3.32,1.51%,223.57,8.00,"1,788,560.00",-,,
Ag99.99,"4,291","4,291","4,291","4,291",31,0.73%,"4,291",600.00,"2,574,600.00",40,,
Ag(T+D),"4,257","4,263","4,222","4,256",-7,-0.16%,"4,244","5,126,198.00","21,757,772,706.00","11,092,296",多支付给空,"411,300"
NYAuTN06,354.95,355.00,350.20,353.50,-3.40,-0.95%,352.50,199.40,"70,286,490.00","39,498",,
NYAuTN12,359.20,359.20,354.10,357.00,-3.95,-1.09%,356.60,98.20,"35,020,130.00","22,762",,
PGC30g,359.47,359.47,356.46,357.21,-3.76,-1.04%,357.21,0.24,"85,731.00",-,,
