20111205
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,357.75,358.20,357.30,357.50,0.02,0.0001,357.74,"2,666","953,754,860.00",　,　
Au9999&nbsp;,360.00,360.00,356.00,357.50,-0.09,-0.0003,357.68,"4,337","1,551,300,104.00",　,　
Au100g,359.85,359.85,350.00,357.84,0.46,0.0013,357.47,38.6,"13,798,722.00",　,　
Au(T+D),358.80,358.80,357.30,357.45,-0.09,-0.0003,357.67,"11,146","3,986,676,380.00","141,370","6,620&nbsp;"
Pt9995&nbsp;,332.00,332.25,331.50,331.61,-1.89,-0.0057,331.84,224,"74,333,000.00",　,　
Ag(T+D),6931.00,6946.00,6903.00,6922.00,-56.00,-0.0080,6921.00,"163,842","1,134,091,668.00","2,150,464",300&nbsp;
