20021224
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,92.8,92.3,92.8,92.25,0.17,0.18%,92.32,766,"70,714,890"
Au99.99,93.65,93.1,93.65,92.9,-0.34,-0.36%,93.25,94,"8,765,790"
