20030327
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,89.6,88.89,89.6,88.89,0.18,0.20%,89.02,437,"38,903,150"
Au99.99,89.25,89.09,89.35,89.08,0.34,0.38%,89.22,412,"36,757,960"
