20130531
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,281.10,282.95,281.10,281.70,0.9,0.0032,282.38,"2,868","809,871,720.00",　,　
Au9999&nbsp;,282.80,283.00,281.40,281.50,0.65,0.0023,282.43,"12,776.80","3,608,604,318.00",　,　
Au100g,282.00,283.45,282.00,282.04,0.92,0.0033,282.75,67.6,"19,114,408.00",　,　
Au(T+D),281.00,283.70,280.50,281.63,1.92,0.0069,282.24,"38,984","11,003,199,300.00","251,980","11,718&nbsp;"
Pt9995&nbsp;,304.50,307.25,304.50,306.25,2.85,0.0094,306.47,212,"64,973,500.00",　,　
Ag99.99&nbsp;,4580.00,4580.00,4580.00,4580.00,75,0.0166,4580.00,750,"3,435,000.00",50,　
Ag(T+D),4565.00,4610.00,4555.00,4568.00,51,0.0113,4582.00,"1,947,604","8,924,268,262.00","3,043,750",　
