20190918
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,344.50,344.80,343.40,344.64,1.53,0.45%,344.42,318.00,"109,525,720.00",-,,
Au99.99,345.28,345.49,343.10,344.84,1.14,0.33%,344.77,"10,620.94","3,563,898,611.80",-,,
Au100g,344.11,346.50,343.20,345.47,0.99,0.29%,345.07,21.80,"7,522,608.00",-,,
iAu99.99,342.00,342.50,341.70,342.06,0.84,0.25%,342.06,116.40,"39,816,740.00",-,,
Au(T+D),344.48,345.60,343.69,344.66,1.20,0.35%,344.73,"56,192.00","19,371,564,920.00","255,336",多支付给空,"5,730"
Au(T+N1),350.20,351.00,350.00,350.15,1.95,0.56%,350.35,14.00,"4,905,170.00","96,644",,
Au(T+N2),347.00,347.40,345.65,346.50,1.00,0.29%,346.85,73.20,"25,388,780.00","505,144",多支付给空,600
mAu(T+D),344.40,345.79,344.05,344.69,0.95,0.28%,344.95,"8,656.60","2,986,166,082.00","831,916",多支付给空,"45,878"
Pt99.95,220.80,221.40,220.80,221.01,1.46,0.67%,221.00,86.00,"19,006,400.00",-,,
Ag(T+D),"4,362","4,406","4,351","4,370",11,0.25%,"4,373","8,248,590.00","36,078,849,954.00","11,498,120",多支付给空,"73,710"
PGC30g,348.00,352.02,346.00,350.29,3.37,0.97%,348.77,3.78,"1,318,384.20",-,,
