20100719
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au9995,260.80,260.96,260.29,260.33,-3.41,-0.0129,260.70,"2,966","773,259,880.00",&nbsp;,&nbsp;
Au9999,263.60,263.60,260.48,260.65,-2.95,-0.0112,260.84,"2,289","597,172,210.00",&nbsp;,&nbsp;
Au100g,262.00,262.90,261.30,261.50,-2.50,-0.0095,261.89,76.8,"20,111,552.00",&nbsp;,&nbsp;
Au50g,261.80,261.80,261.80,261.80,-3.50,-0.0132,261.80,14,"3,665,200.00",&nbsp;,&nbsp;
AuT+D,260.00,260.75,260.00,260.12,-3.40,-0.0129,260.49,"14,812","3,858,476,340.00","110,022","1,434"
Pt9995,343.00,344.00,342.25,342.50,-2.12,-0.0062,342.89,198,"67,892,500.00",&nbsp;,&nbsp;
Ag99.99,"4,150.00","4,150.00","4,150.00","4,150.00",-50.00,-0.0119,"4,150.00",900,"3,735,000.00",60,&nbsp;
Ag(T+D),"4,125.00","4,142.00","4,124.00","4,131.00",-39.00,-0.0094,"4,132.00","140,964","582,549,304.00","790,746",&nbsp;
