20101201
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,295.70,300.00,295.70,299.48,4.64,0.016,299.29,"1,878","562,069,240.00",　,　
Au9999&nbsp;,297.20,299.90,295.50,299.60,4.52,0.015,299.32,"2,946","882,000,560.00",　,　
Au100g,297.00,300.00,297.00,299.90,4.39,0.015,299.08,74.6,"22,311,434.00",　,　
Au(T+D),295.18,299.82,295.18,299.54,4.83,0.016,298.51,"20,870","6,229,916,780.00","120,604","7,342&nbsp;"
Pt9995&nbsp;,369.50,371.25,369.00,371.12,6.02,0.017,370.41,130,"48,153,500.00",　,　
Ag(T+D),6035.00,6350.00,6026.00,6339.00,284.00,0.047,6231.00,"1,091,148","6,799,140,864.00","1,281,508",　
