20191226
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,338.29,339.70,338.29,339.12,0.55,0.16%,339.37,666.00,"226,025,740.00",-,,
Au99.99,339.45,340.10,338.36,339.84,1.25,0.37%,339.50,"21,969.90","7,051,349,459.40",-,,
Au100g,338.11,340.10,338.01,340.01,0.40,0.12%,339.26,19.40,"6,581,688.00",-,,
iAu99.99,335.31,338.50,335.31,337.93,2.94,0.88%,337.40,0.38,"128,212.60",-,,
Au(T+D),338.80,339.82,337.86,339.47,0.94,0.28%,339.06,"50,794.00","17,222,524,640.00","273,728",多支付给空,"11,580"
Au(T+N1),341.70,344.65,341.70,344.30,1.10,0.32%,343.80,"1,309.60","450,245,680.00","113,496",,
Au(T+N2),345.90,347.75,345.80,347.20,0.60,0.17%,347.20,66.40,"23,054,780.00","83,626",,
mAu(T+D),338.42,339.98,338.22,339.68,1.12,0.33%,339.24,"5,199.00","1,763,716,224.00","1,078,038",多支付给空,"15,280"
Pt99.95,218.50,220.90,218.50,220.30,0.10,0.05%,220.19,164.00,"36,111,380.00",-,,
Ag99.99,"4,359","4,359","4,359","4,359",61,1.42%,"4,359","1,230.00","5,361,570.00",82,,
Ag(T+D),"4,268","4,345","4,260","4,329",72,1.69%,"4,311","8,833,850.00","38,089,249,156.00","13,454,582",多支付给空,"60,240"
NYAuTN06,342.30,343.50,341.80,343.30,1.40,0.41%,343.00,294.40,"100,979,320.00","36,302",,
NYAuTN12,346.55,347.90,346.15,347.60,0.95,0.27%,347.05,135.00,"46,854,710.00","7,120",,
PGC30g,344.40,346.00,344.40,345.50,0.23,0.07%,345.50,0.36,"124,381.20",-,,
