20030220
品种,　开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,94.09,94.89,95.04,94.09,1.47,1.57%,94.92,549,"52,112,320"
Au99.99,94.9,94.88,95,94.83,1.45,1.55%,94.91,417,"39,578,310"
