20030313
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,92.55,92.74,92.75,92.55,-1,-1.07%,92.61,246,"22,782,980"
Au99.99,92.5,92.76,92.8,92.49,-0.97,-1.03%,92.59,717,"66,389,630"
