20030228
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,93.5,93.51,93.78,93.5,-1.47,-1.55%,93.56,355,"33,214,690"
Au99.99,93.78,93.59,93.78,93.5,-1.34,-1.41%,93.57,"1,090","101,987,140"
