20140604
,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,250.40,251.00,250.30,250.86,0.21,0.0008,250.69,"3,768","944,609,420.00",　,　
Au9999&nbsp;,251.19,251.20,250.20,251.00,0.10,0.0004,250.89,"14,857.82","3,727,867,296.60",　,　
Au100g,250.90,251.89,250.78,251.40,0.61,0.0024,251.19,50.6,"12,710,414.00",　,　
Au(T+D),250.49,250.95,249.93,250.82,0.51,0.002,250.46,"21,864","5,476,116,400.00","144,836","4,290"
//,250.26,251.05,250.15,250.79,0.26,0.001,250.72,"1,772.80","444,478,708.00","100,316","6,492"
Pt9995&nbsp;,301.50,301.50,300.50,300.50,-2.25,-0.0074,300.93,300,"90,279,000.00",　,　
Ag99.99&nbsp;,4100,4100,4095,4096,-30,-0.0073,4096,"2,400","9,831,000.00",160,　
Ag(T+D),4029,4045,4022,4038,13,0.0032,4032,"595,406","2,401,090,734.00","4,864,308",　
