20140904
,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,251.70,251.70,251.00,251.17,0.27,0.0011,251.28,"3,890","977,510,440.00",　,　
Au9999&nbsp;,252.60,252.60,250.80,250.91,-0.34,-0.0014,251.44,"15,272.46","3,856,666,284.00",　,　
Au100g,252.85,252.85,251.40,251.71,0.08,0.0003,252.10,56.2,"14,168,094.00",　,　
Au(T+D),250.78,251.50,250.41,250.99,0.07,0.0003,251.04,"25,692","6,449,756,940.00","147,260","10,220"
mAu(T+D),250.90,251.70,250.80,251.22,-0.05,-0.0002,251.38,"4,149","1,042,997,842.00","139,138","19,360"
Pt9995&nbsp;,294.00,295.50,294.00,294.53,0.28,0.001,294.42,188,"55,351,000.00",　,　
Ag99.99&nbsp;,4195,4195,4195,4195,66,0.016,4195,"1,800","7,551,000.00",120,　
Ag(T+D),4152,4165,4152,4160,4,0.001,4160,"405,604","1,687,346,608.00","5,294,490",　
