20101025
,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,287.00,289.20,286.80,288.62,4.48,0.0158,287.97,"2,674","770,034,460.00",　,　
Au9999&nbsp;,289.00,289.35,287.00,289.13,5.18,0.0182,288.42,"3,709.80","1,069,251,218.00",　,　
Au100g,286.00,290.20,286.00,288.00,2.43,0.0085,289.58,53,"15,348,040.00",　,　
Au(T+D),286.40,288.90,286.40,288.63,4.91,0.0173,287.9,"11,190","3,221,660,080.00","95,106","14,636&nbsp;"
"//functionSelectEvent(value,index){this.values=value.split("";"")this.index=index;}functionexportbrowseTMTradeQuotationExcel(){myform.action=""browseTMTradeQuotation?.xls"";myform.view_command.value=""export_excel"";myform.target=""_blank"";myform.submit();myform.target=""_self"";myform.view_command.value="""";}functionSelectListener(){this.onSelectChanged="""";}varselectListener=newSelectListener();varoldEvent;functionmyform_select(value,index){values=value.split("";"")varevent=newSelectEvent(value,index);str=selectListener.onSelectChanged+""(event,oldEvent);"";eval(str);oldEvent=event;}functionopenUrl(url){document.location=url}functionisSelected(){checked=false;if(document.myform.myform_radio!=null){a=document.myform.myform_radio;if(a.length!=null){for(i=0;i<a.length;i++){if(a(i).type==""radio""&&a(i).checked==true){checked=true;break;}}}else{if(a.type==""radio""&&a.checked==true){checked=true;}}}returnchecked;}functiondoCommand(action,checkselect,confirm){if(checkselect){if(!isSelected()){alert(""请选择一条记录！"");return;}}if(confirm!=null&&confirm!=""""){vartt=window.confirm(confirm.replace(""(?)"",document.myform.myform_radio.value));if(tt){myform.action=action;myform.table_command.value=action;myform.submit();}}else{myform.action=action;myform.submit();}}functionbodyOnLoad(){eval(bodyOnLoadScript);}",373.50,375.00,373.50,375.00,2.5,0.0067,374.1,370,"138,417,000.00",　,　
Ag(T+D),5300,5340,5300,5331,121,0.0232,5324,"293,772","1,564,052,256.00","1,083,648",480&nbsp;
