20021217
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,89.5,90,90,89.5,1.21,1.36%,89.81,516,"46,342,290"
Au99.99,89.8,90.11,90.15,89.8,0.58,0.65%,89.93,95,"8,543,400"
