20130109
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,332.48,333.99,332.48,333.84,2.36,0.0071,333.39,"3,336","1,112,217,580.00",　,　
Au9999&nbsp;,332.34,334.00,331.60,333.98,2.4,0.0072,333.36,"5,631","1,877,017,164.00",　,　
Au100g,332.01,335.00,332.01,334.67,2.59,0.0078,333.88,44.2,"14,757,766.00",　,　
Au(T+D),332.00,334.40,331.35,333.76,2.58,0.0078,332.89,"15,328","5,102,561,060.00","142,466","8,826&nbsp;"
Pt9995&nbsp;,330.50,333.00,330.50,332.01,5.41,0.0166,331.64,64,"21,225,500.00",　,　
Ag(T+D),6262.00,6289.00,6240.00,6276.00,50,0.008,6267.00,"873,182","5,472,275,320.00","3,493,558",　
