20100630
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au100g,270.62,272.10,270.00,271.54,0.92,0.0034,271.63,33.4,"9,072,702.00",&nbsp;,&nbsp;
Au9995,270.00,271.62,270.00,271.33,1.90,0.0071,271.33,"1,156","313,666,720.00",&nbsp;,&nbsp;
Au9999,272.33,272.33,268.55,271.44,1.44,0.0053,271.27,"1,251.80","339,822,000.00",&nbsp;,&nbsp;
Pt9995,351.00,352.00,346.50,347.61,-5.61,-0.0159,348.91,164,"57,222,000.00",&nbsp;,&nbsp;
Ag(T+D),"4,242.00","4,261.00","4,212.00","4,246.00",10.00,0.0024,"4,236.00","256,490","1,086,493,868.00","679,300",840
AuT+D,270.01,271.80,268.33,271.60,1.80,0.0067,270.48,"14,184","3,836,613,340.00","116,958","8,658"
