20130528
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,280.10,280.80,279.00,279.12,-1.57,-0.0056,279.72,"2,216","619,865,140.00",　,　
Au9999&nbsp;,282.00,282.00,278.81,279.14,-1.71,-0.0061,279.66,"15,640.60","4,374,073,114.00",　,　
Au100g,282.00,282.00,280.00,280.00,-1.2,-0.0043,280.90,58,"16,292,560.00",　,　
Au(T+D)&nbsp;,279.19,279.79,277.90,278.47,-0.21,-0.0008,278.57,"15,670","4,365,341,220.00","266,984",　
Pt9995&nbsp;,301.00,301.50,300.75,301.18,-1.68,-0.0055,300.83,318,"95,664,000.00",　,　
Ag99.99&nbsp;,4530.00,4530.00,4530.00,4530.00,10,0.0022,4530.00,"3,090","13,997,700.00",206,　
Ag(T+D)&nbsp;,4546.00,4553.00,4515.00,4518.00,-10,-0.0022,4529.00,"653,450","2,959,665,686.00","3,087,098","11,910&nbsp;"
