20130208
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,337.00,337.00,335.80,336.47,-1.05,-0.0031,336.66,548,"184,492,160.00",　,　
Au9999&nbsp;,337.50,337.80,335.58,336.75,-0.55,-0.0016,336.52,"3,083","1,037,496,994.00",　,　
Au100g&nbsp;,337.50,338.38,336.50,337.16,-0.34,-0.001,337.21,45.4,"15,309,506.00",　,　
Au(T+D),337.95,338.10,335.00,336.41,-1.09,-0.0032,336.48,"10,252","3,449,668,960.00","135,346","44,180&nbsp;"
Pt9995&nbsp;,356.75,356.75,356.75,356.75,3.45,0.0098,356.75,8,"2,854,000.00",　,　
Ag(T+D)&nbsp;,6512,6537,6445,6483,-30,-0.0046,6483,"1,210,908","7,850,659,804.00","2,917,408","9,000&nbsp;"
