20021227
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,92.9,92.94,93.26,92.9,0.64,0.69%,93.04,632,"58,803,180"
Au99.99,93.8,93.61,93.85,93.5,0.6,0.65%,93.75,79,"7,406,170"
