20080819
品种,开盘价,最高价,最低价,收盘价,涨跌,加权平均价,成交量,成交金额,持仓量,交收量
Au9995,176.10,176.10,173.45,174.14,-3.45,174.57,"1,760","307,260,020.00",&nbsp;,&nbsp;
Au9999,178.06,178.06,174.00,174.00,-4.06,174.95,"1,783.80","312,081,120.00",&nbsp;,&nbsp;
Au100g,178.55,179.00,175.00,175.49,-3.06,176.19,76,"13,390,808.00",&nbsp;,&nbsp;
AuT+D,175.00,177.16,173.20,173.91,-3.39,174.90,"13,034","2,279,763,980.00","51,472",5830
Au(T+N1),175.21,175.21,175.21,175.21,-2.80,175.21,2,"350,420.00",4,&nbsp;
Au(T+N2),175.00,175.00,175.00,175.00,-1.80,175.00,400,"70,000,000.00",594,&nbsp;
Pt9995,319.00,321.00,303.00,303.00,-26.00,306.13,350,"107,146,000.00",&nbsp;,&nbsp;
Ag(T+D),"3,179.00","3,195.00","2,983.00","3,013.00",-199.00,"3,103.00","28,086","87,163,724.00","86,522",&nbsp;
