20140227
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,262.70,262.89,261.00,261.19,-3.83,-0.0145,261.59,"2,814","736,128,700.00",　,　
Au9999&nbsp;,265.24,265.24,261.00,261.48,-3.74,-0.0141,261.68,"23,219.48","6,082,099,064.00",　,　
Au100g,262.90,263.80,261.06,261.38,-3.61,-0.0136,261.8,145.8,"38,171,686.00",　,　
Au(T+D),262.90,262.98,260.50,261.39,-2.60,-0.0098,261.75,"40,324","10,554,983,440.00","195,518","7,344"
mAu(T+D),263.00,263.26,260.80,261.48,-2.37,-0.009,261.93,952.2,"249,414,370.00","26,074",488
Pt9995&nbsp;,294.50,295.00,294.50,294.91,-2.34,-0.0079,294.75,184,"54,235,000.00",　,　
Ag(T+D),4348,4348,4206,4234,-138,-0.0316,4278,"3,829,354","16,384,346,024.00","3,717,676","4,020"
