20190522
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,286.00,286.20,285.90,286.14,-0.29,-0.10%,286.05,404.00,"115,567,200.00",-,,
Au99.99,287.00,287.00,285.30,286.37,-0.23,-0.08%,286.14,"24,316.98","6,919,643,021.00",-,,
Au100g,286.16,286.98,284.21,286.53,-0.21,-0.07%,286.46,18.00,"5,156,432.00",-,,
iAu99.99,284.00,284.00,283.90,283.92,-0.49,-0.17%,283.93,480.62,"136,464,239.00",-,,
Au(T+D),285.50,286.33,285.30,286.21,-0.29,-0.10%,285.92,"49,154.00","14,054,462,940.00","260,002",多支付给空,"17,454"
Au(T+N1),286.80,286.80,285.10,286.30,-0.45,-0.16%,286.05,"5,947.40","1,701,368,100.00","332,068",多支付给空,
Au(T+N2),288.45,288.90,288.00,288.60,-0.30,-0.10%,288.70,"1,054.00","304,273,830.00","423,862",多支付给空,"6,800"
mAu(T+D),285.77,286.33,285.35,286.23,-0.30,-0.10%,285.91,"5,394.00","1,542,200,358.00","745,370",空支付给多,"31,510"
Pt99.95,187.00,187.20,186.50,186.60,-0.55,-0.29%,186.79,466.00,"87,046,320.00",-,,
Ag(T+D),"3,488","3,501","3,484","3,492",-5,-0.14%,"3,492","1,792,928.00","6,262,548,936.00","13,703,732",多支付给空,"113,280"
PGC30g,288.00,290.00,280.01,288.82,-0.18,-0.06%,287.96,0.60,"172,776.00",-,,
