20080902
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(,成交金额（元）,持仓量
Au99.95,181.00,181.00,177.50,177.98,-5.62,-3.10%,179.12,"2,220","397,664,620.00",&nbsp;
Au99.99,182.60,182.60,177.70,178.28,-5.52,-3.00%,179.57,"1,266.0","227,338,524.00",&nbsp;
Au100g,184.00,184.00,178.51,178.59,-5.38,-2.90%,180.39,47.8,"8,623,056.00",&nbsp;
Au(T+D),181.76,182.00,177.61,177.85,-5.65,-3.08%,179.41,"11,774","2,112,483,960.00","56,470"
Au(T+N1),179.03,179.55,179.01,179.32,-3.77,-2.06%,179.32,912,"163,540,500.00",2
Au(T+N2),179.20,179.20,179.20,179.20,-4.15,-2.26%,179.20,400,"71,680,000.00",504
Pt99.95,332.00,332.00,324.00,324.53,-6.57,-2.00%,326.70,182,"59,460,000.00",&nbsp;
Ag(T+D),"3,171.00","3,198.00","3,107.00","3,110.00",-115,-3.57%,"3,155.00","20,150","63,591,672.00","91,086"
