20110812
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,363.50,364.20,361.00,362.53,-5.37,-0.0146,362.76,"2,574","933,753,660.00",　,　
Au9999&nbsp;,368.20,372.00,361.38,362.79,-5.41,-0.0147,363.41,"3,055.20","1,110,309,396.00",　,　
Au100g,368.00,368.00,361.60,362.86,-5.14,-0.014,363.25,253.4,"92,061,700.00",　,　
Au50g,364.00,364.00,364.00,364.00,0.5,0.0014,364,10,"3,640,000.00",　,　
Au(T+D),366.19,366.19,360.30,362.49,-5.22,-0.0142,362.85,"42,834","15,542,567,140.00","119,752","15,452&nbsp;"
Pt9995&nbsp;,375.00,383.00,375.00,382.28,6.78,0.0181,382.29,76,"29,054,500.00",　,　
Ag(T+D),8310,8360,8200,8297,-38,-0.0046,8278,"826,440","6,841,816,430.00","2,478,998","6,600&nbsp;"
