20080904
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(,成交金额（元）,持仓量
Au99.95,177.20,178.45,177.20,178.33,2.21,1.30%,177.59,"1,868","331,741,180.00",&nbsp;
Au99.99,177.19,178.78,176.38,178.71,2.41,1.40%,177.86,"3,026.8","538,351,640.00",&nbsp;
Au100g,176.50,179.00,176.50,178.88,2.56,1.50%,178.39,29.6,"5,280,520.00",&nbsp;
Au(T+D),177.01,178.60,175.60,178.60,2.68,1.52%,177.27,"14,958","2,651,647,800.00","59,896"
Au(T+N1),177.27,177.82,177.22,177.45,0.67,0.38%,177.35,216,"38,309,040.00",2
Au(T+N2),177.80,177.80,177.80,177.80,0.40,0.23%,177.80,472,"83,921,600.00",504
Pt99.95,321.00,321.00,310.00,313.54,-9.91,-3.10%,315.17,406,"127,963,000.00",&nbsp;
Ag(T+D),"3,068.00","3,119.00","3,035.00","3,114.00",94.00,3.11%,"3,069.00","18,782","57,657,334.00","94,756"
