20021122
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,84.85,85.08,85.1,84.85,0.16,0.19%,84.99,262,"22,266,510"
Au99.99,85.1,85.18,85.19,85.1,0.14,0.16%,85.14,65,"5,533,970"
