20030117
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,95,95.37,95.38,95,0.83,0.88%,95.31,544,"51,848,310"
Au99.99,95.5,95.58,95.68,95.5,0.64,0.67%,95.55,62,"5,924,190"
