20130124
,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,339.70,339.79,336.90,337.11,-2.46,-0.0072,337.46,"4,234","1,428,814,860.00",　,　
Au9999&nbsp;,340.80,340.80,337.08,337.39,-2.41,-0.0071,337.65,"6,953.40","2,347,865,730.00",　,　
Au100g,340.95,340.95,337.04,337.24,-3.25,-0.0095,338.80,56.8,"19,244,164.00",　,　
Au(T+D),339.45,341.00,336.80,337.00,-2.59,-0.0076,337.96,"18,432","6,229,394,140.00","148,878","20,112&nbsp;"
Pt9995&nbsp;,351.00,351.50,351.00,351.00,-2.2,-0.0062,351.13,98,"34,411,000.00",　,　
Ag(T+D),6590.00,6628.00,6507.00,6516.00,-42,-0.0064,6567.00,"1,738,302","11,416,781,874.00","3,228,728","3,420&nbsp;"
