20080822
品种,开盘价,最高价,最低价,收盘价,涨跌,加权平均价,成交量,成交金额,持仓量,交收量
Au9995,183.70,184.08,183.35,183.65,2.94,183.76,"1,992","366,063,500.00",&nbsp;,&nbsp;
Au9999,183.22,184.99,182.40,184.04,3.10,184.25,"1,714.80","317,255,788.00",&nbsp;,&nbsp;
Au100g,183.00,185.00,183.00,184.95,3.05,184.59,71.2,"13,143,000.00",&nbsp;,&nbsp;
AuT+D,183.00,184.38,182.40,183.58,2.98,183.42,"12,744","2,337,538,780.00","54,714",2324
Au(T+N1),183.53,183.97,183.33,183.80,3.11,183.62,796,"146,167,980.00",4,&nbsp;
Au(T+N2),183.90,183.90,183.30,183.60,3.20,183.60,"1,020","187,278,000.00",574,&nbsp;
Pt9995,327.50,341.00,327.50,340.62,23.89,337.95,168,"56,776,000.00",&nbsp;,&nbsp;
Ag(T+D),"3,240.00","3,250.00","3,200.00","3,237.00",49.00,"3,232.00","25,028","80,908,336.00","85,854",&nbsp;
