20140402
,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,256.00,256.40,255.70,256.27,0.18,0.0007,255.89,"1,462","374,118,980.00",　,　
Au9999&nbsp;,256.40,256.40,255.55,256.25,-0.14,-0.0005,255.89,"10,990.12","2,816,933,469.00",　,　
Au100g,256.80,257.00,255.80,256.53,0.00,0,256.35,26.2,"6,716,394.00",　,　
Au(T+D),256.20,256.48,255.18,256.19,-0.12,-0.0005,255.83,"17,668","4,520,031,640.00","180,506","9,156"
mAu(T+D),256.45,256.45,255.45,256.07,-0.52,-0.002,255.84,551.4,"141,072,880.00","43,786","1,554"
Pt9995&nbsp;,301,301,300,300.79,2.79,0.0094,300.63,206,"61,930,000.00",　,　
Ag(T+D),4098,4107,4091,4100,1,0.0002,4100,"497,536","2,040,184,026.00","3,756,558",900
