20030404
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,87.7,86.62,87.7,86.35,-1.56,-1.77%,86.63,418,"36,211,780"
Au99.99,87.5,86.81,87.5,86.6,-1.41,-1.60%,87.02,243,"21,145,920"
