20110322
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,302.55,303.60,302.55,302.69,-0.38,-0.001,303.08,"2,548","772,265,260.00",　,　
Au9999&nbsp;,304.40,304.40,302.60,302.80,-0.35,-0.001,303.17,"6,601","2,001,584,778.00",　,　
Au100g,304.00,304.00,302.50,303.18,-0.53,-0.002,303.32,69.4,"21,050,456.00",　,　
Au(T+D),303.20,303.70,302.39,302.59,-0.13,0.000,302.78,"10,994","3,328,835,420.00","119,156","3,328&nbsp;"
Pt9995&nbsp;,381.00,383.50,380.50,381.37,1.37,0.004,382.30,378,"144,513,100.00",　,　
Ag(T+D),7776.00,7778.00,7711.00,7729.00,-11.00,-0.001,7744.00,"678,104","5,251,481,788.00","2,170,074",150&nbsp;
