20180906
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收方向,交收量
Au99.95,264.50,264.80,264.50,264.59,0.68,0.26%,264.62,590.00,"156,130,280.00",-,,
Au99.99,265.00,265.10,263.70,264.80,0.89,0.34%,264.77,"11,654.96","3,152,916,081.80",-,,
Au100g,265.00,265.35,264.16,264.98,0.51,0.19%,265.02,13.40,"3,551,400.00",-,,
iAu99.99,263.94,264.05,263.94,263.96,0.96,0.37%,263.96,260.00,"68,629,600.00",-,,
Au(T+D),264.00,264.90,263.85,264.85,1.07,0.41%,264.51,"36,814.00","9,737,710,060.00","191,038",空支付给多,"10,386"
Au(T+N1),270.00,270.70,270.00,270.65,0.75,0.28%,270.65,16.80,"4,546,730.00","19,222",多支付给空,200
Au(T+N2),266.75,266.80,265.90,266.35,0.90,0.34%,266.35,416.40,"110,907,980.00","506,184",多支付给空,
mAu(T+D),264.25,264.94,264.00,264.80,0.94,0.36%,264.56,"2,457.20","650,096,668.00","326,610",空支付给多,"13,194"
Pt99.95,186.57,186.57,186.00,186.40,1.40,0.76%,186.45,60.00,"11,187,240.00",-,,
Ag(T+D),"3,373","3,395","3,370","3,387",8,0.24%,"3,386","2,790,122.00","9,447,857,392.00","13,625,732",空支付给多,"17,610"
