20130321
,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,322.80,322.80,321.70,322.07,-0.87,-0.0027,322.10,"2,570","827,808,140.00",　,　
Au9999&nbsp;,322.93,322.93,321.60,322.23,-0.7,-0.0022,322.14,"6,969.20","2,245,075,272.00",　,　
Au100g,323.16,323.16,322.60,323.00,-0.5,-0.0015,322.81,48,"15,495,156.00",　,　
Au(T+D),322.50,322.55,321.50,322.10,-0.66,-0.002,322.09,"17,486","5,632,228,540.00","207,360","11,204&nbsp;"
Pt9995&nbsp;,326.50,330.75,326.50,330.27,4.27,0.0131,329.30,174,"57,298,500.00",　,　
Ag99.99&nbsp;,5910.00,5915.00,5910.00,5912.00,-8,-0.0014,5912.00,"4,800","28,380,000.00",320,　
Ag(T+D),5992.00,6010.00,5973.00,5997.00,-5,-0.0008,5992.00,"706,068","4,230,937,742.00","4,341,150",　
