20030212
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,97.31,97.21,97.35,97.1,-0.17,-0.17%,97.21,283,"27,509,710"
Au99.99,97.11,97.2,97.36,97,-0.21,-0.22%,97.19,974,"94,666,360"
