20140729
,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,259.75,260.00,259.50,259.78,0.25,0.001,259.68,"3,594","933,324,720.00",　,　
Au9999&nbsp;,259.75,260.40,259.60,259.85,0.10,0.0004,259.85,"18,315.30","4,759,301,028.20",　,　
Au100g,260.49,260.99,259.00,260.23,-0.16,-0.0006,260.07,18.4,"4,785,442.00",　,　
Au(T+D),259.60,259.99,258.89,259.84,0.58,0.0022,259.6,"15,880","4,122,570,120.00","127,350","11,482"
mAu(T+D),259.80,260.16,259.31,259.95,0.57,0.0022,259.88,"1,426.60","370,748,116.00","122,728","12,420"
Pt9995&nbsp;,310.50,311.00,310.00,310.00,0.75,0.0024,310.36,184,"57,108,000.00",　,　
Ag99.99&nbsp;,4315,4315,4310,4313,-3,-0.0007,4313,"1,860","8,022,300.00",124,　
Ag(T+D),4295,4298,4282,4297,11,0.0026,4291,"549,368","2,357,368,714.00","4,949,192",　
