20030127
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,98.7,98.26,98.7,98.2,0.54,0.55%,98.39,"1,098","108,033,500"
Au99.99,98.5,98.1,98.52,98,0.12,0.12%,98.42,137,"13,483,760"
