20140801
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,256.25,256.25,255.25,255.60,-1.82,-0.0071,255.44,"3,112","794,948,940.00",　,　
Au9999&nbsp;,257.80,257.80,255.20,255.65,-2.14,-0.0083,255.49,"13,507.20","3,451,017,247.40",　,　
Au100g,257.99,258.49,255.80,255.87,-2.21,-0.0086,256.35,53,"13,587,030.00",　,　
Au(T+D),256.03,256.78,255.20,255.69,-1.87,-0.0073,255.8,"38,700","9,899,462,240.00","129,198","13,052"
mAu(T+D),256.57,256.90,255.30,255.59,-2.12,-0.0082,255.97,"4,048.20","1,036,252,404.00","118,978","13,758"
Pt9995&nbsp;,306.00,306.00,305.00,306.00,-2.25,-0.0073,305.77,"1,044","319,230,000.00",　,　
Ag99.99&nbsp;,4299,4299,4299,4299,-11,-0.0026,4299,"4,020","17,281,980.00",268,　
Ag(T+D),4285,4289,4271,4283,-5,-0.0012,4279,"1,070,188","4,579,816,754.00","4,941,192",　
