20130814
&nbsp;,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,265.00,265.39,264.10,264.35,-3.62,-0.0135,264.56,954,"252,390,320.00",　,　
Au9999&nbsp;,269.50,269.50,264.01,264.75,-3.21,-0.012,264.56,"11,138.80","2,947,139,940.00",　,　
Au100g&nbsp;,268.50,268.50,264.02,265.03,-2.58,-0.0096,265.25,42.2,"11,193,910.00",　,　
Au(T+D)&nbsp;,267.47,267.47,263.85,264.55,-2.92,-0.0109,264.95,"29,204","7,737,774,440.00","194,620","6,062&nbsp;"
Pt9995&nbsp;,307.75,308.75,307.75,308.39,-2.12,-0.0068,308.44,596,"183,830,500.00",　,　
Ag(T+D)&nbsp;,4329,4340,4260,4287,13,0.003,4293,"2,549,790","10,947,405,884.00","3,933,106","3,960&nbsp;"
