20021220
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,92.7,91.93,92.7,91.82,-0.97,-1.04%,92.39,388,"35,846,590"
Au99.99,94,94.4,94.8,93.88,0.74,0.79%,94.17,49,"4,614,200"
