20191009
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,346.00,348.00,346.00,347.98,5.09,1.48%,347.31,"1,066.00","370,239,640.00",-,,
Au99.99,349.00,349.00,344.10,348.39,4.39,1.28%,347.65,"16,046.08","5,612,585,247.00",-,,
Au100g,346.50,348.97,346.50,348.70,3.66,1.06%,348.21,21.20,"7,382,116.00",-,,
iAu99.99,343.80,346.80,343.75,346.58,4.83,1.41%,344.56,41.34,"14,244,369.20",-,,
Au(T+D),346.30,348.36,345.90,348.19,5.05,1.47%,347.26,"88,548.00","30,749,669,760.00","223,376",空支付给多,"5,142"
Au(T+N1),348.40,354.50,348.40,354.05,5.05,1.45%,354.10,335.80,"118,902,340.00","101,428",,
Au(T+N2),342.10,349.50,342.10,348.80,4.65,1.35%,349.15,"1,366.40","477,056,070.00","541,020",多支付给空,600
mAu(T+D),347.44,348.39,345.94,348.21,4.94,1.44%,347.41,"11,068.00","3,845,165,678.00","830,856",多支付给空,"29,026"
Pt99.95,211.39,211.65,211.23,211.65,3.04,1.46%,211.61,344.00,"72,794,220.00",-,,
Ag(T+D),"4,307","4,406","4,291","4,400",145,3.41%,"4,355","12,920,584.00","56,280,084,504.00","10,902,002",多支付给空,"1,097,550"
PGC30g,350.00,350.00,350.00,350.00,0.50,0.14%,350.00,0.06,"21,000.00",-,,
