20030320
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,89.5,89.72,90,89.5,-1.37,-1.50%,89.83,564,"50,662,930"
Au99.99,90,89.65,90.15,89,-1.5,-1.65%,89.79,307,"27,566,980"
