20110527
,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,318.70,319.40,318.00,319.37,-0.18,-0.001,318.75,"4,720","1,504,520,220.00",　,　
Au9999&nbsp;,319.90,319.90,317.79,319.39,-0.20,-0.001,318.77,"2,077.60","662,289,398.00",　,　
Au100g,319.50,319.50,317.50,319.29,-0.29,-0.001,318.76,40.8,"13,005,700.00",　,　
Au(T+D),318.61,319.50,317.32,319.21,-0.18,-0.001,318.66,"19,798","6,308,863,740.00","108,932","6,232&nbsp;"
"//functionSelectEvent(value,index){this.values=value.split("";"")this.index=index;}functionexportbrowseTMTradeQuotationExcel(){myform.action=""browseTMTradeQuotation?.xls"";myform.view_command.value=""export_excel"";myform.target=""_blank"";myform.submit();myform.target=""_self"";myform.view_command.value="""";}functionSelectListener(){this.onSelectChanged="""";}varselectListener=newSelectListener();varoldEvent;functionmyform_select(value,index){values=value.split("";"")varevent=newSelectEvent(value,index);str=selectListener.onSelectChanged+""(event,oldEvent);"";eval(str);oldEvent=event;}functionopenUrl(url){document.location=url}functionisSelected(){checked=false;if(document.myform.myform_radio!=null){a=document.myform.myform_radio;if(a.length!=null){for(i=0;i<a.length;i++){if(a(i).type==""radio""&&a(i).checked==true){checked=true;break;}}}else{if(a.type==""radio""&&a.checked==true){checked=true;}}}returnchecked;}functiondoCommand(action,checkselect,confirm){if(checkselect){if(!isSelected()){alert(""请选择一条记录！"");return;}}if(confirm!=null&&confirm!=""""){vartt=window.confirm(confirm.replace(""(?)"",document.myform.myform_radio.value));if(tt){myform.action=action;myform.table_command.value=action;myform.submit();}}else{myform.action=action;myform.submit();}}functionbodyOnLoad(){eval(bodyOnLoadScript);}",385.00,387.00,384.00,386.65,-0.35,-0.001,386.27,118,"45,580,500.00",　,　
Ag(T+D),8170.00,8285.00,7986.00,8220.00,-115.00,-0.014,8155.00,"2,353,550","19,195,456,188.00","1,917,006",330&nbsp;
