20110816
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,359.00,365.70,359.00,364.75,5.47,0.015,363.50,"2,076","754,643,360.00",　,　
Au9999&nbsp;,362.30,365.25,358.70,364.76,5.25,0.015,363.28,"2,527.60","918,249,102.00",　,　
Au100g,359.33,364.89,358.00,364.84,5.51,0.015,363.02,101.4,"36,811,004.00",　,　
Au(T+D),358.21,364.90,358.21,364.40,4.69,0.013,362.86,"27,142","9,848,850,520.00","124,890","7,100&nbsp;"
Pt9995&nbsp;,385.50,386.50,385.50,386.30,4.68,0.012,386.28,180,"69,213,000.00",　,　
Ag(T+D),8365.00,8480.00,8363.00,8470.00,130.00,0.016,8436.00,"598,914","5,052,754,668.00","2,505,468","6,630&nbsp;"
