20030109
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,93.95,94.25,94.25,93.95,0.98,1.05%,94.12,652,"61,368,680"
Au99.99,94.36,94.22,94.36,94.1,0.85,0.91%,94.22,294,"27,700,020"
