20101110
合,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,303.50,305.00,299.70,300.10,-3.50,-0.012,300.78,"2,236","672,554,720.00",　,　
Au9999&nbsp;,306.00,306.00,300.00,300.78,-2.84,-0.009,301.01,"5,967.40","1,786,148,068.00",　,　
Au100g,308.00,316.50,306.00,307.00,-0.81,-0.003,310.10,142.8,"44,283,588.00",　,　
Au50g,301.30,301.30,301.30,301.30,13.60,0.047,301.30,6,"1,807,800.00",　,　
Au(T+D),304.90,305.00,299.50,300.02,-3.36,-0.011,301.45,"31,964","9,635,819,220.00","115,998","4,812&nbsp;"
Pt9995&nbsp;,394.00,396.50,391.00,391.00,-3.00,-0.008,393.13,202,"79,414,000.00",　,　
Ag(T+D),6411.00,6585.00,6205.00,6278.00,-52.00,-0.008,6394.00,"1,813,180","11,595,216,368.00","1,294,174",30&nbsp;
