20140505
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,262.70,263.05,262.60,262.78,2.58,0.0099,262.78,"2,434","639,627,600.00",　,　
Au9999&nbsp;,260.59,263.20,260.59,262.84,2.58,0.0099,262.83,"11,232.02","2,952,165,622.80",　,　
Au100g,262.00,263.49,262.00,262.88,2.47,0.0095,262.85,41,"10,776,904.00",　,　
Au(T+D),262.80,263.40,262.50,262.79,2.17,0.0083,262.81,"19,638","5,161,066,840.00","151,030","6,134"
mAu(T+D),262.33,263.40,262.32,262.76,2.09,0.008,262.81,"1,132.60","297,660,544.00","54,750","2,756"
Pt9995&nbsp;,305.00,305.00,304.00,304.39,3.89,0.0129,304.4,20,"6,088,000.00",　,　
Ag(T+D),4097,4105,4080,4092,20,0.0049,4092,"388,732","1,590,976,654.00","4,031,586",　
