20100917
,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au100g&nbsp;,275.61,277.68,275.61,277.49,1.88,0.0068,276.8,73.2,"20,262,336.00",　,　
Au9995&nbsp;,276.20,277.60,276.00,277.52,2.65,0.0096,277.11,"4,246","1,176,649,940.00",　,　
Au9999&nbsp;,277.00,277.70,275.88,277.55,2.35,0.0085,277.2,"3,060.80","848,622,334.00",　,　
Pt9995&nbsp;,363.00,365.00,363.00,364.42,2.76,0.0076,364.29,82,"29,872,000.00",　,　
Ag(T+D)&nbsp;,4413.00,4500.00,4404.00,4498.00,99.00,0.0225,4458,"396,568","1,767,985,666.00","1,553,834","7,530&nbsp;"
Au(T+D)&nbsp;,276.74,277.70,275.88,277.50,2.45,0.0089,276.85,"31,616","8,753,028,160.00","130,122","4,102&nbsp;"
