20100609
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au9995,273.00,273.50,271.10,271.10,-1.39,-0.005,271.70,"3,056","830,338,500.00",&nbsp;,&nbsp;
Au9999,274.00,274.00,271.35,271.35,-0.93,-0.003,271.85,"1,692.40","460,081,254.00",&nbsp;,&nbsp;
Au100g,272.50,273.80,271.11,271.48,-0.80,-0.003,272.12,100,"27,212,874.00",&nbsp;,&nbsp;
AuT+D,272.50,274.20,271.15,271.19,-1.29,-0.005,272.43,"24,908","6,785,780,500.00","124,496","6,028"
Pt9995,346.00,348.00,346.00,348.00,-0.70,-0.002,346.91,160,"55,506,000.00",&nbsp;,&nbsp;
Ag99.99,"4,200.00","4,200.00","4,200.00","4,200.00",0.00,0,"4,200.00",300,"1,260,000.00",20,&nbsp;
Ag(T+D),"4,180.00","4,208.00","4,175.00","4,176.00",-5.00,-0.001,"4,188.00","269,982","1,130,880,142.00","571,394","2,640"
