20130917
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,262.50,262.50,260.00,261.89,-1.69,-0.0064,261.53,"2,480","648,618,220.00",　,　
Au9999&nbsp;,263.80,263.80,261.00,262.00,-1.76,-0.0067,261.43,"16,690.80","4,363,228,676.00",　,　
Au100g&nbsp;,262.53,265.00,261.45,262.85,-2.53,-0.0095,262.36,83.6,"21,933,742.00",　,　
Au(T+D)&nbsp;,261.40,263.60,260.88,261.81,-1.78,-0.0068,261.66,"40,256","10,533,755,580.00","160,984","19,574&nbsp;"
Pt9995&nbsp;,300.00,301.00,297.50,298.08,-3.1,-0.0103,298.44,820,"244,726,000.00",　,　
Ag(T+D)&nbsp;,4365,4433,4365,4414,15,0.0034,4402,"1,774,426","7,812,252,216.00","3,538,464",　
