20030407
&nbsp;品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,86.5,85.96,86.5,85.8,-0.66,-0.76%,86.09,290,"24,965,960"
Au99.99,86.5,86.01,86.5,86,-0.8,-0.92%,86.09,425,"36,587,830"
