20021104
交易品种,开盘价,收盘价,最高价,最低价,加权平均价,成交量（kg）,成交额&nbsp;&nbsp;元),涨跌,涨跌幅
Au9995,84.7,84.89,84.9,84.7,84.83,214,"18,154,560",0.44,0.52%
Au9999,84.9,84.99,85.06,84.9,85.01,95,"8,076,330",0.48,0.57%
